ID	student_name	last_name	second_surname	type	spanish	english	socials	science	avg_note
1	DANIEL	FERNANDEZ	RAMIREZ	11B	66.0	77.0	88.0	99.0	82.5
2	CARLOS	MORA	SALAS	11B	44.0	55.0	66.0	77.0	60.5
3	ALLAN	BRENES	SOLORZANO	11B	55.0	66.0	77.0	77.0	68.75
4	BEATRIZ	FERNANDEZ	RAMIREZ	11B	33.0	55.0	66.0	77.0	57.75
5	ALEXANDER	FERNANDEZ	ELIZONDO	11B	55.0	66.0	44.0	55.0	55.0
6	ANA	RAMIREZ	VINDAS	11B	33.0	44.0	55.0	66.0	49.5
7	MILAGRO	MENA	GONZALES	11B	44.0	66.0	77.0	80.0	66.75
8	MATEO	JIMENEZ	FERNANDEZ	11B	90.0	100.0	98.0	99.0	96.75
9	ALANA	FERNANDEZ	PALACIOS	11A	90.0	98.0	98.0	100.0	96.5
10	ALEJANDRO	MORERA	SOTO	11B	88.0	90.0	99.0	100.0	94.25
11	RICARDO	SAPRISSA	AYMA	11B	99.0	99.0	99.0	99.0	99.0
12	CARLOS	UGALDE	ALVAREZ	11B	88.0	88.0	77.0	66.0	79.75
13	JUAQUIN	GARCIA	MONGE	11F	66.0	77.0	88.0	99.0	82.5
